GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
personal-finance-manager,com.example.personalfinance.service,UserService,0,53,0,2,0,10,0,4,0,3
personal-finance-manager,com.example.personalfinance.service,SavingsGoalService,159,0,10,0,39,0,15,0,10,0
personal-finance-manager,com.example.personalfinance.service,CategoryService,84,106,2,8,9,21,2,11,1,7
personal-finance-manager,com.example.personalfinance.service,CustomUserDetailsService,29,0,0,0,6,0,3,0,3,0
personal-finance-manager,com.example.personalfinance.service,ReportService,245,0,8,0,56,0,7,0,3,0
personal-finance-manager,com.example.personalfinance.service,TransactionService,0,136,2,6,0,28,2,11,0,9
personal-finance-manager,com.example.personalfinance.controller,TransactionController,106,0,8,0,21,0,9,0,5,0
personal-finance-manager,com.example.personalfinance.controller,AuthController,0,83,1,1,0,21,1,4,0,4
personal-finance-manager,com.example.personalfinance.controller,CategoryController,66,0,0,0,14,0,4,0,4,0
personal-finance-manager,com.example.personalfinance.controller,ReportController,34,0,0,0,7,0,3,0,3,0
personal-finance-manager,com.example.personalfinance.controller,SavingsGoalController,97,0,0,0,20,0,6,0,6,0
personal-finance-manager,com.example.personalfinance.exception,CategoryNotFoundException,0,4,0,0,0,2,0,1,0,1
personal-finance-manager,com.example.personalfinance.exception,UnauthorizedOperationException,0,4,0,0,0,2,0,1,0,1
personal-finance-manager,com.example.personalfinance.exception,GlobalExceptionHandler,88,31,0,0,18,8,6,3,6,3
personal-finance-manager,com.example.personalfinance.exception,CategoryAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
personal-finance-manager,com.example.personalfinance.exception,CategoryInUseException,0,4,0,0,0,2,0,1,0,1
personal-finance-manager,com.example.personalfinance.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
personal-finance-manager,com.example.personalfinance.exception,TransactionNotFoundException,0,4,0,0,0,2,0,1,0,1
personal-finance-manager,com.example.personalfinance.exception,SavingsGoalNotFoundException,4,0,0,0,2,0,1,0,1,0
personal-finance-manager,com.example.personalfinance.dto,SavingsGoalRequest,31,0,0,0,9,0,9,0,9,0
personal-finance-manager,com.example.personalfinance.dto,UserLoginRequest,0,17,0,0,0,5,0,5,0,5
personal-finance-manager,com.example.personalfinance.dto,TransactionUpdateRequest,0,17,0,0,0,5,0,5,0,5
personal-finance-manager,com.example.personalfinance.dto,UserRegistrationRequest,0,31,0,0,0,9,0,9,0,9
personal-finance-manager,com.example.personalfinance.dto,CategoryRequest,0,17,0,0,0,5,0,5,0,5
personal-finance-manager,com.example.personalfinance.dto,SavingsGoalUpdateRequest,17,0,0,0,5,0,5,0,5,0
personal-finance-manager,com.example.personalfinance.dto,TransactionRequest,0,31,0,0,0,9,0,9,0,9
personal-finance-manager,com.example.personalfinance,PersonalFinanceManagerApplication,5,3,0,0,2,1,1,1,1,1
personal-finance-manager,com.example.personalfinance.config,SecurityConfig,3,60,0,0,1,12,1,7,1,7
personal-finance-manager,com.example.personalfinance.entity,User,25,59,0,0,7,17,7,12,7,12
personal-finance-manager,com.example.personalfinance.entity,SavingsGoal,111,16,6,0,30,7,22,1,19,1
personal-finance-manager,com.example.personalfinance.entity,Category.CategoryType,0,15,0,0,0,2,0,1,0,1
personal-finance-manager,com.example.personalfinance.entity,Category,18,35,0,0,7,10,2,10,2,10
personal-finance-manager,com.example.personalfinance.entity,Transaction,9,43,0,0,3,12,3,12,3,12
